,site,Cause of death,Times word_asthma is mentioned.
0,AP,AIDS,9.0
1,Bohol,AIDS,
2,Dar,AIDS,0.0
3,Mexico,AIDS,1.0
4,Pemba,AIDS,
5,UP,AIDS,0.0
6,AP,Acute Myocardial Infarction,3.0
7,Bohol,Acute Myocardial Infarction,6.0
8,Dar,Acute Myocardial Infarction,0.0
9,Mexico,Acute Myocardial Infarction,0.0
10,Pemba,Acute Myocardial Infarction,
11,UP,Acute Myocardial Infarction,5.0
12,AP,Asthma,22.0
13,Bohol,Asthma,12.0
14,Dar,Asthma,1.0
15,Mexico,Asthma,0.0
16,Pemba,Asthma,0.0
17,UP,Asthma,0.0
18,AP,Bite of Venomous Animal,0.0
19,Bohol,Bite of Venomous Animal,0.0
20,Dar,Bite of Venomous Animal,
21,Mexico,Bite of Venomous Animal,0.0
22,Pemba,Bite of Venomous Animal,
23,UP,Bite of Venomous Animal,0.0
24,AP,Breast Cancer,0.0
25,Bohol,Breast Cancer,0.0
26,Dar,Breast Cancer,0.0
27,Mexico,Breast Cancer,0.0
28,Pemba,Breast Cancer,
29,UP,Breast Cancer,0.0
30,AP,COPD,7.0
31,Bohol,COPD,2.0
32,Dar,COPD,0.0
33,Mexico,COPD,1.0
34,Pemba,COPD,
35,UP,COPD,23.0
36,AP,Cervical Cancer,0.0
37,Bohol,Cervical Cancer,0.0
38,Dar,Cervical Cancer,0.0
39,Mexico,Cervical Cancer,0.0
40,Pemba,Cervical Cancer,
41,UP,Cervical Cancer,0.0
42,AP,Cirrhosis,2.0
43,Bohol,Cirrhosis,0.0
44,Dar,Cirrhosis,0.0
45,Mexico,Cirrhosis,0.0
46,Pemba,Cirrhosis,
47,UP,Cirrhosis,0.0
48,AP,Colorectal Cancer,0.0
49,Bohol,Colorectal Cancer,0.0
50,Dar,Colorectal Cancer,0.0
51,Mexico,Colorectal Cancer,0.0
52,Pemba,Colorectal Cancer,
53,UP,Colorectal Cancer,
54,AP,Diabetes,3.0
55,Bohol,Diabetes,0.0
56,Dar,Diabetes,0.0
57,Mexico,Diabetes,0.0
58,Pemba,Diabetes,0.0
59,UP,Diabetes,1.0
60,AP,Diarrhea/Dysentery,6.0
61,Bohol,Diarrhea/Dysentery,1.0
62,Dar,Diarrhea/Dysentery,0.0
63,Mexico,Diarrhea/Dysentery,0.0
64,Pemba,Diarrhea/Dysentery,0.0
65,UP,Diarrhea/Dysentery,2.0
66,AP,Drowning,0.0
67,Bohol,Drowning,0.0
68,Dar,Drowning,0.0
69,Mexico,Drowning,
70,Pemba,Drowning,0.0
71,UP,Drowning,0.0
72,AP,Epilepsy,0.0
73,Bohol,Epilepsy,0.0
74,Dar,Epilepsy,0.0
